doc_id,query_id,score,query_type,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,method,model_name,experiment,config_slug,text_source,chunk_size,chunk_overlap,include_title_chunk,index_dir
patientansvarig personal,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8966872096061707,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
nhv - tarmrehabilitering för barn - processkarta,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8950911164283752,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
information om barnakuten till randande läkare,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8933408856391907,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
hud-mot-hudvård på intensivvårdsavdelningen för nyfödda,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8921946287155151,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
amningssamtal med föräldrar till barn inom barnhälsovården,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8892594575881958,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
"amningsförberedande samtal under graviditet och postpartum, barnmorskemottagning",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8866689205169678,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
barn med skyddade personuppgifter,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8852354288101196,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
överföring av barnhälsovårdsjournal bvc - region uppsalas journalutlämning- emi,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8847929239273071,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
suicidrisk - rutin på sektionen för barns vård och hälsa,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8844386339187622,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
barn på civa,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.8830466866493225,Case-beskrivning,2026-03-29T11:15:05+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-new-run,chunk_500__overlap_50__title_on__text,text,500,50,True,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-new-run/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_500__overlap_50__title_on__text
