doc_id,query_id,score,query_type,evaluated_at_cet,top_k,num_queries_total,num_query_types,qrels_source,data_source,method,model_name,experiment,config_slug,text_source,chunk_size,chunk_overlap,include_title_chunk,index_dir
hud-mot-hudvård på intensivvårdsavdelningen för nyfödda,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9135960340499878,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
barn på civa,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9109205007553101,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
protonstrålning barn,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9086199402809143,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
amningssamtal med föräldrar till barn inom barnhälsovården,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9054039716720581,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
intrahospitala transporter - barn,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9028088450431824,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
"anhöriga på akm, as",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9019889831542969,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
arbetsgång 17 års mottagning - barn,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9019198417663574,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
arbetsgång 13 års mottagning - barn,Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9019198417663574,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
"hypotermibehandling, barn - vårdprogram",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9014835357666016,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
"amningsförberedande samtal under graviditet och postpartum, barnmorskemottagning",Familjen vill sova med sitt barn mellan sig. Var hittar du informationen du behöver förmedla till föräldrarna?,0.9001652598381042,Case-beskrivning,2026-03-25T09:56:56+01:00,20,80,7,google_sheet,google_sheet,dense_e5,intfloat/multilingual-e5-large-instruct,e5-cleaned-text-sweep,chunk_150__overlap_25__title_off__cleaned_text,cleaned_text,150,25,False,/home/isak/Repos/ActSearchDemo/evaluation/experiments/e5-cleaned-text-sweep/indexes/dense_e5/intfloat-multilingual-e5-large-instruct/chunk_150__overlap_25__title_off__cleaned_text
